#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654   14.886142573  -51.327628028
   -3.036872898    9.981143629  -42.088540077
   -2.932153143    6.118601247  -31.574234338
   -2.827433388    3.370324483  -21.041609564
   -2.722713633    1.667185206  -11.785739294
   -2.617993878    0.834180132   -4.522038144
   -2.513274123    0.655269687    0.736346561
   -2.408554368    0.943325143    4.474029586
   -2.303834613    1.559105694    7.000213759
   -2.199114858    2.370612455    8.120784479
   -2.094395102    3.195327472    7.116697844
   -1.989675347    3.779631112    3.477888490
   -1.884955592    3.864213369   -2.245257410
   -1.780235837    3.318755673   -8.109092260
   -1.675516082    2.264181165  -11.649858681
   -1.570796327    1.047333434  -10.926629132
   -1.466076572    0.150414700   -5.671319523
   -1.361356817    0.000000000    3.032698094
   -1.256637061    0.859755386   13.335859056
   -1.151917306    2.796261652   23.247696278
   -1.047197551    5.685780491   31.399065576
   -0.942477796    9.300969478   37.028188971
   -0.837758041   13.374800425   40.234924781
   -0.733038286   17.677074073   41.520845931
   -0.628318531   22.034183849   41.337670271
   -0.523598776   26.295485770   39.613642573
   -0.418879020   30.271588630   35.725069463
   -0.314159265   33.695515224   28.975971610
   -0.209439510   36.254594110   19.345959979
   -0.104719755   37.687073609    7.582748393
    0.000000000   37.842733455   -4.736901570
    0.104719755   36.738375147  -16.294024626
    0.209439510   34.499579682  -26.313372304
    0.314159265   31.304862467  -34.515987365
    0.418879020   27.360849068  -40.517016375
    0.523598776   22.933344294  -43.595164331
    0.628318531   18.377378710  -42.893513022
    0.733038286   14.115067013  -37.904524784
    0.837758041   10.589960180  -28.917667379
    0.942477796    8.185403613  -16.623511312
    1.047197551    7.206163938   -1.842314079
    1.151917306    7.874328791   14.730855667
    1.256637061   10.331055188   32.140114374
    1.361356817   14.595907685   48.956894380
    1.466076572   20.511240509   63.303951816
    1.570796327   27.711903420   73.257678168
    1.675516082   35.656382318   77.312703282
    1.780235837   43.687130227   74.820401623
    1.884955592   51.114731527   65.853904414
    1.989675347   57.282585509   50.853521808
    2.094395102   61.601145854   30.679603485
    2.199114858   63.596310458    6.914141182
    2.303834613   63.026977122  -17.827756672
    2.408554368   59.966496958  -40.065107754
    2.513274123   54.849857189  -56.663194172
    2.617993878   48.363005037  -66.148920354
    2.722713633   41.232177406  -69.255009232
    2.827433388   34.025219678  -67.940728836
    2.932153143   27.096905356  -64.129170852
    3.036872898   20.657223526  -58.631645837
